origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
MAD,LHR,1132.747714285714,11.385555555555555,0.11385555555555556,directo,1246.7103196307842,141.94489605840718,143.50327397230882,-5.70896340061432,-7.332093543499292,1.623130142884972,0.29696831612861135
MAD,LIM,432.1085714285714,4.504444444444444,0.04504444444444444,directo,9526.189253001634,429.1019025740958,764.4641939751225,-23.871321930984365,-24.836953562117998,0.9656316311336326,0.1795683014049548
MAD,LIS,1110.2038571428573,13.479999999999999,0.13479999999999998,directo,512.8845584370001,69.1368384773076,88.46634188277501,-3.1520636072016526,-4.138607528703924,0.9865439215022711,0.18266984405474415
MAD,LPA,1333.4781428571428,6.205555555555556,0.06205555555555556,directo,1764.684311974792,109.50846535976905,182.3513233981094,-5.83719577515757,-8.06885400752805,2.2316582323704797,0.4370241150315136
MAD,MAH,395.15857142857146,9.745,0.09745,directo,664.420257000122,64.74775404466189,99.83151927500916,-3.291585466393421,-4.815037801274691,1.52345233488127,0.27658711130711017
MAD,MEX,440.9417142857143,4.866666666666666,0.048666666666666664,directo,9066.892665272759,441.2554430432742,730.016949895457,-23.425447858774625,-25.00317087460321,1.5777230158285853,0.28757649840173266
MAD,MUC,428.1665714285714,6.98,0.0698,directo,1496.254482482131,104.43856287725274,162.2190861861598,-5.333152981268251,-6.9802447986457405,1.6470918173774898,0.30199520504013433
MAD,MXP,635.8374285714286,9.075555555555557,0.09075555555555556,directo,1149.8607401249226,104.35625028155965,136.2395555093692,-4.811916115818578,-6.1694963380981935,1.3575802222796156,0.24465483666101423
MAD,ORY,1165.2614285714285,9.513333333333334,0.09513333333333333,directo,1030.3275824585885,98.01849734456039,127.27456868439414,-4.505861320579091,-5.672415037476433,1.1665537168973419,0.21109245304386437
MAD,PMI,1974.215142857143,10.965555555555556,0.10965555555555556,directo,546.2019396202064,59.89407713457575,90.96514547151548,-3.0171844521218247,-4.499343895749718,1.4821594436278929,0.26840163083576873
MAD,SVQ,181.59714285714284,16.598888888888887,0.16598888888888885,directo,394.84613030621415,65.54007045160591,79.61345977296607,-2.9030706044914396,-4.54446170557564,1.6413911010842002,0.30079488580706143
MAD,TFN,1301.0638571428572,6.0311111111111115,0.060311111111111114,directo,1770.7028463123972,106.7930561087077,182.8027134734298,-5.79191539164275,-7.469484268276737,1.6775688766339876,0.30845809005632585
MAD,VLC,773.2588571428571,25.513333333333335,0.2551333333333334,directo,284.323318697925,72.54035604379727,71.32424890234438,-2.877292098922833,-4.29608452917972,1.4187924302568868,0.25614275425975425
MAH,MAD,395.1975714285714,9.8625,0.098625,directo,664.420257000122,65.52844784663704,99.83151927500916,-3.307199342432924,-4.815037801274691,1.5078384588417673,0.27347390584088266
MEX,MAD,441.60585714285713,4.941111111111111,0.04941111111111111,directo,9066.892665272759,448.0052409163106,730.016949895457,-23.56044381623535,-25.00317087460321,1.4427270583678613,0.2607296592715933
MUC,MAD,428.12514285714286,6.9511111111111115,0.06951111111111112,directo,1496.254482482131,104.00631158231347,162.2190861861598,-5.324507955369466,-6.9802447986457405,1.6557368432762747,0.3038206388335339
MUC,VLC,146.29500000000002,6.11,0.0611,directo,1387.8656786928748,84.79859296813466,154.08992590196561,-4.777770377402005,-6.703506536914093,1.9257361595120877,0.3637394139786239
MXP,MAD,632.2577142857143,8.64,0.0864,directo,1149.8607401249226,99.34796794679332,136.2395555093692,-4.711750469123251,-6.1694963380981935,1.4577458689749427,0.26363491616432444
ORY,MAD,1118.7234285714287,9.192222222222222,0.09192222222222222,directo,1030.3275824585885,94.71000099644337,127.27456868439414,-4.439691393616751,-5.672415037476433,1.232723643859682,0.22232247881450815
PMI,MAD,1972.046428571429,10.715555555555556,0.10715555555555556,directo,546.2019396202064,58.52857228552523,90.96514547151548,-2.989874355140814,-4.499343895749718,1.5094695406089036,0.273798098548199
SVQ,MAD,181.70557142857143,17.013333333333335,0.17013333333333336,directo,394.84613030621415,67.17648830276391,79.61345977296607,-2.9357989615145996,-4.54446170557564,1.6086627440610402,0.2939567381365732
SVQ,TFN,381.31557142857145,5.81,0.0581,directo,1390.141624876303,80.7672284053132,154.26062186572273,-4.700557005420719,-6.820887453878999,2.1203304484582803,0.4098522497704026
TFN,MAD,1291.4218571428573,6.057777777777778,0.06057777777777778,directo,1770.7028463123972,107.265243534391,182.8027134734298,-5.801359140156416,-7.469484268276737,1.6681251281203213,0.306447280282486
VLC,MAD,769.62,24.433333333333334,0.24433333333333335,directo,284.323318697925,69.46966420185969,71.32424890234438,-2.815878262084081,-4.29608452917972,1.4802062670956389,0.26801827433803277
