origin,destination,yield_source,price_source,demand_pax_week,price_eur,direct_op_cost_per_pax_eur,direct_margin_per_pax_eur,direct_share_bound,market_potential_pax_week,market_potential_revenue_week,market_potential_margin_week
MAH,BCN,via_mad,via_mad_avg_radial_price,976.1029999999998,69.57228582203227,56.36108343287785,13.21120238915442,0.1809825407686725,176.6576009919235,12290.47310884463,2333.859320286788
VLC,MAD,directo,yield_times_distance,769.62,69.46966420185969,59.04839778407596,10.42126641778373,0.2680182743380328,206.2722242960368,14329.66215601636,2149.617803977841
MAD,BCN,directo,yield_times_distance,3595.032714285714,73.67378499776966,71.38023832157992,2.293546676189735,0.2452646568675424,881.7344650968753,64960.71540667063,2022.299151704872
BCN,IBZ,via_mad,via_mad_avg_radial_price,1092.044571428571,66.84935413904972,58.54121322366841,8.308140915381315,0.1864717362893353,203.6354473396288,13612.89813447065,1691.831991864347
IBZ,BCN,via_mad,via_mad_avg_radial_price,1091.932857142857,66.84935413904972,58.54121322366841,8.308140915381315,0.1864717362893353,203.6146157828034,13611.50555835116,1691.658920354755
BIO,BCN,via_mad,via_mad_avg_radial_price,794.2462857142857,76.59245546810087,70.37914151968187,6.213313948419,0.2544492907742202,202.0954041000587,15478.98323884159,1255.682193206269
BCN,BIO,via_mad,via_mad_avg_radial_price,794.168,76.59245546810087,70.37914151968187,6.213313948419,0.2544492907742202,202.0754843555809,15477.45753669975,1255.558425580056
PMI,MAH,via_mad,via_mad_avg_radial_price,349.6892857142857,62.17471282784997,49.54213516672659,12.63257766112338,0.2174113056313201,76.0264041724266,4726.919846754678,960.4094550041339
MAH,PMI,via_mad,via_mad_avg_radial_price,349.3394285714285,62.17471282784997,49.54213516672659,12.63257766112338,0.2174113056313201,75.95034127421357,4722.190657901429,959.4485845353278
LHR,BIO,via_mad,via_mad_avg_radial_price,183.5747142857143,109.3461255864569,98.9872575351786,10.35886805127829,0.4654103436056465,85.43757085302265,9342.267352296423,885.0365230882018
BIO,LHR,via_mad,via_mad_avg_radial_price,180.9431428571428,109.3461255864569,98.9872575351786,10.35886805127831,0.4654103436056463,84.21281029022839,9208.344529983784,872.3493900238079
PMI,IBZ,via_mad,via_mad_avg_radial_price,437.2098571428571,59.45178114486743,50.07396510514437,9.37781603972305,0.2072602373009587,90.61621874174682,5387.295604809766,849.7822295754058
IBZ,PMI,via_mad,via_mad_avg_radial_price,436.7728571428572,59.45178114486743,50.07396510514437,9.37781603972305,0.2072602373009587,90.52564601804632,5381.910895062629,848.9328552343259
MEX,MAD,directo,yield_times_distance,441.6058571428571,448.0052409163106,441.9465358435732,6.058705072737382,0.2607296592715933,115.139744665197,51583.20904777409,697.5977550767162
VLC,PMI,via_mad,via_mad_avg_radial_price,653.5624285714285,65.10816741643949,58.55043843549043,6.557728980949058,0.1617839774273717,105.7359291913782,6884.272579725044,693.3875671858784
PMI,VLC,via_mad,via_mad_avg_radial_price,645.591,65.10816741643949,58.55043843549043,6.557728980949058,0.1617839774273717,104.4462797713143,6800.30586937501,684.9303958086613
IBZ,VLC,via_mad,via_mad_avg_radial_price,197.61,65.34862385125642,52.19399757612366,13.15462627513276,0.1964818743451521,38.8267831893455,2537.276849994825,510.7518223214471
VLC,IBZ,via_mad,via_mad_avg_radial_price,197.294,65.34862385125642,52.19399757612366,13.15462627513276,0.1964818743451521,38.76469491705244,2533.219466843172,509.9350743033632
BCN,MXP,via_mad,via_mad_avg_radial_price,852.9751428571428,87.92928990629579,86.1493492372615,1.779940669034289,0.2168862109560397,184.9985467739724,16266.79085153204,329.2864371152356
MXP,BCN,via_mad,via_mad_avg_radial_price,841.7904285714285,87.92928990629579,86.1493492372615,1.779940669034289,0.2168862109560397,182.5727364719179,16053.49107422501,324.9686387032464
SVQ,MAD,directo,yield_times_distance,181.7055714285714,67.17648830276391,65.91092530223771,1.2655630005262,0.2939567381365732,53.41357707838497,3588.136535814906,67.59824687615833
