origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,price_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound,direct_op_cost_per_pax_eur,direct_margin_per_pax_eur,market_potential_pax_week,market_potential_revenue_week,market_potential_margin_week
BCN,BIO,794.168,15.255555555555556,0.15255555555555556,via_mad,via_mad_avg_radial_price,466.8079283345254,76.59245546810087,85.0105946250894,-3.2320610018638054,-4.641946065078304,1.409885063214499,0.25444929077422024,70.37914151968187,6.213313948419,202.07548435558093,15477.457536699745,1255.5584255800563
BCN,BRU,701.2151428571427,9.231111111111112,0.09231111111111112,via_mad,via_mad_avg_radial_price,1083.7817530003974,98.05494671076211,131.2836314750298,-4.586771563715839,-6.157502450348035,1.5707308866321963,0.286146107527292,108.68797377017718,-10.63302705941507,200.6499836677654,19674.723456058025,-2133.5167058105417
BCN,EZE,202.45357142857145,4.79111111111111,0.047911111111111106,via_mad,via_mad_avg_radial_price,10480.859041322654,284.12113777475736,836.064428099199,-22.403711317479125,-23.863305061747933,1.4595937442688083,0.2639938037043867,506.1468474031915,-222.02570962843413,53.44648839496632,15185.277092843196,-11866.494513040267
BCN,FCO,729.9840000000002,7.147777777777778,0.07147777777777778,via_mad,via_mad_avg_radial_price,846.8754582421872,85.15795227226327,113.51565936816402,-3.973472232808546,-5.397485973833275,1.424013741024729,0.257138855652803,93.97810579499418,-8.820153522730905,187.70725040485576,15984.765071134478,-1655.6067659005207
BCN,FRA,397.95585714285716,7.010000000000001,0.07010000000000001,via_mad,via_mad_avg_radial_price,1093.6114029157611,88.09435229400057,132.02085521868207,-4.402304150253653,-5.875707883377906,1.473403733124253,0.26668583057439144,109.29831151002001,-21.20395921601944,106.12918829408673,9349.382102255599,-2250.358980217063
BCN,IBZ,1092.0445714285713,12.98857142857143,0.1298857142857143,via_mad,via_mad_avg_radial_price,276.1549778829403,66.84935413904972,70.71162334122052,-2.7512195496054046,-3.7630252095462997,1.011805659940895,0.18647173628933533,58.54121322366841,8.308140915381315,203.63544733962877,13612.898134470654,1691.831991864347
BCN,JFK,390.5238571428572,5.567777777777778,0.05567777777777778,via_mad,via_mad_avg_radial_price,6150.093075516737,197.4444322045416,511.2569806637553,-14.174028257365938,-15.798758923465874,1.6247306660999357,0.2973025789306625,309.5109662351656,-112.06653403062398,116.10374986252106,22924.038968423596,-13011.34483505127
BCN,LHR,947.7099999999999,10.995555555555555,0.10995555555555554,via_mad,via_mad_avg_radial_price,1148.4603050714518,106.7601408167711,136.13452288035887,-4.857893273942599,-6.180244065608667,1.322350791666068,0.23820318265513227,112.70396229746486,-5.943821480693757,225.74753823409537,24100.838970911438,-1341.803066969551
BCN,LIS,595.4348571428571,13.212222222222222,0.13212222222222222,via_mad,via_mad_avg_radial_price,994.0019632528491,71.22830686957435,124.55014724396368,-3.9155690822707605,-4.835156853682832,0.9195877714120719,0.17288474693141323,103.11341166166928,-31.88510479209492,102.94160459128504,7332.356201474435,-3282.3038498595233
BCN,LPA,383.03014285714283,6.136666666666667,0.06136666666666667,via_mad,via_mad_avg_radial_price,2174.497517274226,91.45355017536308,213.08731379556696,-6.0908172794186015,-8.436788004077371,2.3459707246587698,0.4653217841322032,176.41215521201622,-84.95860503665314,178.23226945069837,16299.973797078275,-15142.364985048222
