origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
BCN,DME,202.95742857142858,10.736666666666666,0.10736666666666667,via_mad,3028.696810681883,325.1810809068782,277.1522608011412,-12.046666834160389,-17.539195589652874,5.492528755492485,0.9529172826974648
BCN,DUB,219.56328571428574,10.800555555555555,0.10800555555555555,via_mad,1485.2138210868252,160.41134386527204,161.39103658151188,-6.436047608935679,-9.533992783654684,3.0979451747190048,0.6486336187262334
BCN,DUS,355.45314285714284,11.231666666666666,0.11231666666666666,via_mad,1167.4140134161646,131.12005060685888,137.55605100621233,-5.373522032261425,-6.680357923146463,1.3068358908850382,0.23539925621116786
BCN,EZE,202.45357142857145,10.092222222222222,0.10092222222222222,via_mad,10480.859041322654,1057.7515852481517,836.064428099199,-37.87632026694702,-38.365299057827926,0.4889787908809069,0.1196311341351521
BCN,FCO,729.9840000000002,11.270555555555555,0.11270555555555556,via_mad,846.8754582421872,95.4475690075514,113.51565936816402,-4.179264567514308,-5.533052789242127,1.353788221727819,0.24395475803241612
BCN,FRA,397.95585714285716,11.377222222222223,0.11377222222222222,via_mad,1093.6114029157611,124.42259955728818,132.02085521868207,-5.128869095519406,-6.562929968752927,1.4340608732335216,0.25906272158144955
BCN,GRX,481.2382857142858,16.726666666666667,0.16726666666666667,via_mad,680.1420670356856,113.76509641283569,101.01065502767642,-4.295515028810243,-6.201039940788577,1.9055249119783335,0.35907486819123546
BCN,HEL,217.17928571428573,6.934,0.06934,directo,2628.0532782148507,182.22921431141773,247.1039958661138,-8.58666420355063,-13.444926770983145,4.858262567432515,0.9147728640022204
BCN,IBZ,1092.0445714285713,14.190952380952382,0.14190952380952382,via_mad,276.1549778829403,39.18902140899764,70.71162334122052,-2.1980128950043634,-3.1965773088538993,0.998564413849536,0.18447137263494684
BCN,IST,180.01214285714286,10.61,0.1061,via_mad,2219.8226247511384,235.52318048609578,216.48669685633536,-9.040197546848622,-13.258679724737336,4.218482177888713,0.8498691983330836
BCN,JFK,390.5238571428572,10.480555555555554,0.10480555555555554,via_mad,6150.093075516737,644.5639214979069,511.2569806637553,-23.116418043233246,-24.33831686078909,1.221898817555843,0.2204565452321034
BCN,LCG,316.4615714285714,16.20277777777778,0.1620277777777778,via_mad,887.6669486238532,143.82670309230377,116.57502114678898,-5.208034484781855,-7.6920297461338745,2.4839952613520193,0.499772152906776
BCN,LGW,584.3124285714287,9.793912783751495,0.09793912783751495,media_global,1109.0544405589574,108.61982463266735,133.17908304192179,-4.835978153491783,-5.827334090569257,0.9913559370774747,0.1833893828909001
BCN,LHR,947.7099999999999,13.389444444444443,0.13389444444444443,via_mad,1148.4603050714518,153.7724545140392,136.13452288035887,-5.798139547887962,-7.022902336275527,1.2247627883875651,0.2209491282753359
BCN,LIS,595.4348571428571,14.436666666666666,0.14436666666666664,via_mad,994.0019632528491,143.5007500949363,124.55014724396368,-5.3610179467779995,-6.218147119779061,0.857129173001062,0.16413505214327545
BCN,LPA,383.03014285714283,10.799444444444443,0.10799444444444443,via_mad,2174.497517274226,234.83365132385376,213.08731379556696,-8.958419302388414,-11.427847163550743,2.4694278611623286,0.4961303801043938
BCN,MAD,3596.4700000000003,15.393333333333333,0.15393333333333334,directo,482.93085577562044,74.33915639906051,86.21981418317154,-3.211179411644641,-4.543174824935656,1.3319954132910152,0.23995773562228304
BCN,MAH,981.8344285714287,12.569166666666666,0.12569166666666665,via_mad,241.04341388389224,30.29714843008955,68.07825604129192,-1.9675080894276296,-2.9396698792393763,0.9721617898117467,0.18053236125053687
BCN,MXP,852.9751428571428,12.234444444444446,0.12234444444444445,via_mad,720.791273680808,88.18480793888197,104.0593455260606,-3.8448830692988514,-4.961235045530552,1.1163519762317007,0.2028534610315325
BCN,ORY,1309.0155714285713,12.453333333333333,0.12453333333333333,via_mad,826.0925984420925,102.87606492598859,111.95694488315694,-4.296660196182911,-5.265782947554783,0.9691227513718719,0.18008320102753783
BCN,OVD,369.21171428571427,18.196666666666665,0.18196666666666667,via_mad,711.5834600211034,129.48447027517344,103.36875950158276,-4.6570645955351235,-6.730740236736475,2.0736756412013513,0.398616985149358
BCN,PMI,1972.4500000000003,13.179444444444444,0.13179444444444444,via_mad,201.9658171237118,26.617972664587857,65.14743628427838,-1.835308178977325,-2.6476732572984063,0.8123650783210814,0.15808561549569886
BCN,PRG,253.1295714285714,11.352777777777778,0.11352777777777778,via_mad,1358.0267351910652,154.1737574090523,151.8520051393299,-6.120515250967644,-9.199975946799407,3.079460695831763,0.6444093717529655
BCN,SCQ,401.4822857142857,14.92611111111111,0.1492611111111111,via_mad,883.2522548808781,131.83521295491417,116.24391911606587,-4.961582641419601,-7.2778929502951435,2.3163103088755426,0.4579504714780712
BCN,SVQ,1244.7814285714285,15.996111111111109,0.15996111111111108,via_mad,809.2803605461037,129.4533856733553,110.69602704095777,-4.802988254286262,-6.196837803836786,1.3938495495505236,0.25141927179610757
BCN,TFN,398.14814285714283,10.712222222222222,0.10712222222222222,via_mad,2194.5056698875587,235.0803240376217,214.58792524156692,-8.993364985583773,-11.313232855831608,2.319867870247835,0.4588337026676518
BCN,TLV,235.36342857142856,10.565,0.10565,via_mad,3081.677969072558,325.5792774325157,281.12584768044184,-12.13410250225915,-17.557771414718566,5.423668912459416,0.9497296661184855
BCN,VCE,373.4592857142857,11.249444444444444,0.11249444444444444,via_mad,951.7472085057632,107.06627347240665,121.38104063793224,-4.5689462822067775,-6.912652853786685,2.343706571579908,0.46475851315151134
BCN,VGO,322.764,15.321666666666665,0.15321666666666667,via_mad,893.4212807169556,136.88703056051622,117.00659605377167,-5.077872532285758,-7.406505784024471,2.3286332517387134,0.46101096536311403
BCN,VIE,208.7744285714286,11.349444444444444,0.11349444444444444,via_mad,1369.6854651397202,155.45169092966302,152.72640988547903,-6.163562016302841,-9.063182227917592,2.899620211614751,0.6022175621839662
BCN,XRY,250.55042857142857,15.971666666666664,0.15971666666666665,via_mad,865.7196698791813,138.26985994086988,114.9289752409386,-5.06397670363617,-7.273204495093751,2.2092277914575806,0.4315134783223331
BIO,ACE,191.26399999999998,15.635555555555554,0.15635555555555553,via_mad,1859.3562286349998,290.7206761039079,189.45171714762498,-9.603447865030658,-13.34563352924711,3.7421856642164517,0.778557349662214
BIO,AGP,219.67614285714285,19.057222222222222,0.19057222222222223,via_mad,749.0717635747908,142.75227058836694,106.1803822681093,-4.9786530571295255,-6.5149477150720205,1.536294657942495,0.2791640472815194
BIO,BCN,794.2462857142857,20.04888888888889,0.20048888888888888,via_mad,466.8079283345254,93.58980287631307,85.0105946250894,-3.5720079500280493,-4.9643257099763085,1.3923177599482592,0.251131087107732
BIO,LHR,180.94314285714285,18.113888888888887,0.18113888888888888,via_mad,927.5491652156835,168.01522517698533,119.56618739117626,-5.751628251363232,-8.017949317057559,2.266321065694327,0.4455701515526348
BIO,MAD,849.1658571428571,24.84222222222222,0.24842222222222218,directo,319.17495448909585,79.29015147185783,73.93812158668219,-3.0645654611708,-4.4938351276891435,1.4292696665183433,0.2581441153301468
BIO,PMI,311.4317142857143,17.903888888888886,0.17903888888888886,via_mad,628.7467435782427,112.57011836275568,97.1560057683682,-4.194522482622478,-5.24750262006685,1.0529801374443721,0.19279868876133946
BIO,SVQ,274.6717142857143,20.720555555555553,0.20720555555555553,via_mad,701.1435398082476,145.28083669015672,102.58576548561857,-4.957332043515506,-6.600016304706653,1.642684261191147,0.3010669298200358
BIO,TFN,151.08014285714287,15.436666666666666,0.15436666666666665,via_mad,2038.482091163907,314.6736854726684,202.88615683729302,-10.35119684619923,-14.433640956582263,4.082444110383033,0.8316739298334372
BOG,MAD,252.26514285714288,5.517777777777777,0.05517777777777777,directo,8031.379803546835,443.15369004903977,652.3534852660126,-21.910143506301047,-34.568549589781625,12.658406083480578,0.9999618329355523
BOS,AMS,197.76885714285714,6.604444444444445,0.06604444444444445,via_mad,5547.542313937325,366.38435015603847,466.0656735452994,-16.649000474026757,-26.000084697487637,9.35108422346088,0.998958631416088
BOS,FCO,149.43800000000002,6.663333333333333,0.06663333333333334,via_mad,6568.916294108935,437.7087890641254,542.6687220581701,-19.607550222445912,-30.22913977325727,10.621589550811358,0.9997074793994134
BOS,FRA,165.05871428571427,6.77,0.0677,via_mad,5889.513980914617,398.72009650791955,491.71354856859625,-17.808672901530315,-27.50142309252316,9.692750190992847,0.9992597954713004
BRU,AGP,258.1577142857143,11.251666666666667,0.11251666666666667,via_mad,1735.4787809078318,195.27028749847955,180.1609085680874,-7.508623921331338,-9.795003025931148,2.28637910459981,0.4505304863353543
BRU,BCN,701.0770000000001,12.243333333333334,0.12243333333333334,via_mad,1083.7817530003974,132.691012625682,131.2836314750298,-5.279492882014236,-6.689779308281,1.4102864262667643,0.25452543879526873
BRU,JFK,329.27514285714284,7.399444444444445,0.07399444444444445,via_mad,5885.351084280075,435.4832838418129,491.4013313210056,-18.53769230325637,-27.77237550640455,9.23468320314818,0.9988302286883298
BRU,MAD,624.8788571428571,9.231111111111112,0.09231111111111112,directo,1315.6121208044801,121.44561666270691,148.67090906033602,-5.402330514460859,-7.196993280474954,1.7946627660140955,0.33397882228448816
BUD,BCN,172.70971428571428,9.793912783751495,0.09793912783751495,media_global,1522.187192716116,149.08168606005168,164.1640394537087,-6.264914510275208,-9.466703431553542,3.201788921278334,0.6719201028934934
BUD,JFK,159.67000000000002,9.793912783751495,0.09793912783751495,media_global,7016.298146933466,687.170121158636,576.22236102001,-25.26784964357292,-36.136320071098474,10.868470427525555,0.9997714584087167
BUD,MAD,198.3205714285714,9.793912783751495,0.09793912783751495,media_global,1974.8392755669956,193.4140362683014,198.11294566752468,-7.830539638716521,-11.661228050475826,3.8306884117593043,0.7934391422367866
CAI,LHR,493.3312857142857,8.53111111111111,0.0853111111111111,via_mad,3532.9974789030143,301.4039404779705,314.9748109177261,-12.32757502791393,-18.490780350520446,6.163205322606515,0.9753567115575031
CCS,MAD,282.84142857142854,6.376666666666667,0.06376666666666667,directo,7005.905386575179,446.7432334839439,575.4429039931384,-20.44372274954165,-31.819409056010194,11.375686306468545,0.9998623666509437
CDG,AGP,503.17914285714284,9.793912783751495,0.09793912783751495,media_global,1485.4408458402988,145.48278089581936,161.40806343802242,-6.137816886676836,-9.866494727605785,3.728677840928949,0.776219762437869
CDG,EZE,147.6551428571429,9.793912783751495,0.09793912783751495,media_global,11100.154846613517,1087.1394845386924,882.5116134960138,-39.39302196069413,-55.17624542512549,15.783223464431359,0.9999983226887482
CDG,GIG,170.01014285714288,9.793912783751495,0.09793912783751495,media_global,9183.917892066052,899.4649084802979,738.7938419049539,-32.76517500770504,-46.84419227806343,14.079017270358392,0.9999907798554327
CDG,MEX,192.01914285714287,9.793912783751495,0.09793912783751495,media_global,9198.903225244701,900.9325589421694,739.9177418933526,-32.81700601671044,-46.25250401717853,13.435498000468094,0.9999824526724879
CDG,VLC,252.37100000000004,9.793912783751495,0.09793912783751495,media_global,1085.5316986910611,106.31602780977859,131.41487740182959,-4.754618104232163,-7.331602485135168,2.5769843809030046,0.5230031827347223
CMN,MAD,223.59300000000002,9.424444444444445,0.09424444444444445,directo,867.0448971793825,81.71416464306137,115.02836728845368,-3.9348506386303015,-6.168337730687757,2.233487092057455,0.43747412846951794
CPH,AGP,307.2377142857143,9.253333333333334,0.09253333333333334,via_mad,2471.3482851621607,228.68209465367195,235.35112138716207,-9.28066432081668,-13.961222436190834,4.680558115374154,0.8998583308271334
CPH,BCN,511.9681428571429,9.712,0.09712,directo,1768.4171519142376,171.74867379391074,182.63128639356782,-7.087599203749571,-10.670909105648333,3.5833099018987618,0.7499608035972697
CPH,MAD,260.5964285714286,5.234444444444445,0.05234444444444444,directo,2060.0414902161924,107.83172733787202,204.50311176621443,-6.246696782081729,-10.357447157194109,4.11075037511238,0.8355994749973696
CPH,PMI,307.70571428571424,8.1,0.081,via_mad,1930.4747084399407,156.3684513836352,194.78560313299556,-7.0230810903326155,-10.930673752841502,3.907592662508886,0.8057591531460991
CUZ,LIM,644.1875714285715,9.793912783751495,0.09793912783751495,media_global,585.9071987591759,57.38324004019521,93.9430399069382,-3.0265255989426683,-4.904932961882201,1.8784073629395328,0.3528581708864346
DFW,FRA,195.85171428571428,9.793912783751495,0.09793912783751495,media_global,8258.063179263494,808.7875054041624,669.354738444762,-29.562844876978488,-42.725420769430656,13.162575892452168,0.9999769464847896
DFW,LHR,304.81714285714287,9.793912783751495,0.09793912783751495,media_global,7626.825583158056,746.9646457833463,622.0119187368542,-27.37953129040401,-39.204210063079934,11.824678772675924,0.9999121482636409
