file,budget,lam,alfa,mu_alfa,mu_beta,is_longrun,obj_val,pax_obj,op_obj,used_budget,comp_time,combo,series,objective_gain,rank_in_budget_lam,gap_vs_best_pct,best_regular_obj_val,best_regular_series,best_regular_combo,delta_vs_best_regular,improvement_vs_best_regular_pct,baseline_mu0_obj_val,baseline_mu0_series,delta_vs_mu0,improvement_vs_mu0_pct
bud=5.00e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,50000.0,10.0,0.1,1e-07,0.005,True,0.0,0.0,0.0,0.0,10084.470542268828,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=7.50e+04_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,75000.0,10.0,0.1,0.0,0.0,False,2937.6134195791365,13467.847656716234,16405.46107629537,76341.79513873016,5481.756244737655,single level,single level,-2937.6134195791365,3,112.09501982127601,-24287.793347900646,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",-27225.406767479784,-112.09501982127601,2937.6134195791365,single level,0.0,0.0
bud=7.50e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,75000.0,10.0,0.1,1e-08,0.001,False,-24287.793347900646,260002.61092961766,235714.817581717,74629.75719943448,11253.425203606486,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,24287.793347900646,1,0.0,-24287.793347900646,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",0.0,0.0,2937.6134195791365,single level,27225.406767479784,926.7865739590845
bud=7.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,75000.0,10.0,0.1,1e-07,0.005,False,-19173.231835563725,222170.1829279813,202996.95109241758,75645.67710903716,10165.713628489524,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,19173.231835563725,2,21.0581564124639,-24287.793347900646,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",-5114.561512336921,-21.0581564124639,2937.6134195791365,single level,22110.845255142864,752.680564017529
bud=7.50e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,75000.0,10.0,0.1,1e-08,0.001,True,-24287.793347900646,260002.61092961766,235714.817581717,74629.75719943448,12797.360970104113,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,24287.793347900646,1,0.0,-24287.793347900646,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",0.0,0.0,2937.6134195791365,single level,27225.406767479784,926.7865739590845
bud=7.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,75000.0,10.0,0.1,1e-07,0.005,True,-19173.231835563725,222170.1829279813,202996.95109241758,75645.67710903716,10463.550468107685,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,19173.231835563725,2,21.0581564124639,-24287.793347900646,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",-5114.561512336921,-21.0581564124639,2937.6134195791365,single level,22110.845255142864,752.680564017529
bud=1.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000.0,10.0,0.1,0.0,0.0,False,-9995.190979300198,126179.9460428516,116184.7550635514,100927.68205753106,5675.153091398999,single level,single level,9995.190979300198,4,74.62290902206608,-39263.06208210962,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-29267.871102809426,-74.54301715338053,-9995.190979300198,single level,0.0,0.0
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,100000.0,10.0,0.1,1e-08,0.001,False,-38897.63583822566,387364.0535541978,348466.4177159721,99782.7645812531,10401.773021163419,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,38897.63583822566,3,1.2416225425333067,-39263.06208210962,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-365.42624388396507,-0.930712543814745,-9995.190979300198,single level,28902.44485892546,289.16350791877545
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,100000.0,10.0,0.1,1e-07,0.005,False,-39263.06208210962,387195.6369032766,347932.574821167,100625.81451151035,5568.661547778174,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,39263.06208210962,2,0.3138308619167832,-39263.06208210962,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",0.0,0.0,-9995.190979300198,single level,29267.871102809426,292.8195285455024
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,100000.0,10.0,0.1,1e-08,0.001,True,-38897.63583822566,387364.0535541978,348466.4177159721,99782.7645812531,11816.527163894847,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,38897.63583822566,3,1.2416225425333067,-39263.06208210962,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",-365.42624388396507,-0.930712543814745,-9995.190979300198,single level,28902.44485892546,289.16350791877545
