simulation,parameter,origin,destination,value,delta_vs_1
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,PMI,1.000011106,0.000011106
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,MAH,1.000010645,0.000010645
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAH,PMI,1.000010322,0.000010322
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,JFK,MAD,1.002051339,0.002051339
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,JFK,1.001501384,0.001501384
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,BCN,1.001154355,0.001154355
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,LHR,MAD,1.001031464,0.001031464
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MAD,1.000993225,0.000993225
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,PMI,1.000471271,0.000471271
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,PMI,BCN,1.000468559,0.000468559
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,VLC,MAD,1.000412067,0.000412067
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BIO,BCN,1.000382353,0.000382353
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,BIO,1.000381416,0.000381416
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,BIO,1.000362020,0.000362020
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,IBZ,1.000341403,0.000341403
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,IBZ,BCN,1.000340397,0.000340397
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BIO,MAD,1.000322235,0.000322235
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MAH,1.000289243,0.000289243
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAH,BCN,1.000245078,0.000245078
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,VLC,PMI,1.000210947,0.000210947
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,LHR,BIO,1.000207610,0.000207610
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BCN,MXP,1.000192204,0.000192204
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,VLC,1.000163785,0.000163785
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MXP,BCN,1.000159666,0.000159666
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,PMI,VLC,1.000156914,0.000156914
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAD,LHR,1.000155792,0.000155792
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,PMI,IBZ,1.000143684,0.000143684
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,IBZ,PMI,1.000140151,0.000140151
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,BIO,LHR,1.000132533,0.000132533
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,PMI,MAH,1.000105332,0.000105332
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,MAH,PMI,1.000102400,0.000102400
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,IBZ,VLC,1.000056669,0.000056669
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,alfa_od,VLC,IBZ,1.000054088,0.000054088
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,EZE,MAD,0.904624872,-0.095375128
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,SVQ,MAD,0.921708036,-0.078291964
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MEX,MAD,0.930226852,-0.069773148
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,GRU,MAD,0.982451903,-0.017548097
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,GRU,0.991104016,-0.008895984
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,JFK,0.997899240,-0.002100760
